id_dep,nome,deputado,partido,UF,tema_1,tema_2,tema_3,tema_4,tema_5,tema_6,tema_7,tema_8,tema_9,tema_10,tema_11,tema_12,tema_13,tema_14,tema_15,tema_16,tema_17,tema_18,tema_19,IMPEACHMENT
141562,LeloCoimbra,Lelo Coimbra,pmdb,ES,nao,nao,sim,sim,nao,nao,sim,nao,sim,nao,nao votou,sim,sim,sim,nao,sim,sim,sim,sim,sim
178825,LeodeBrito,Leo de Brito,pt,AC,nao,nao votou,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,nao,sim,nao,nao
74156,LeonardoMonteiro,Leonardo Monteiro,pt,MG,nao,sim,nao votou,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
74254,LeonardoPicciani,Leonardo Picciani,pmdb,RJ,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao votou,sim,nao
141482,LeonardoQuintao,Leonardo Quintão,pmdb,MG,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,sim,nao,sim,sim,sim
74299,LeonidasCristino,Leônidas Cristino,pros,CE,sim,sim,sim,sim,nao,nao,sim,nao,sim,nao,sim,sim,nao,sim,sim,sim,nao,sim,sim,nao
160663,LeopoldoMeyer,Leopoldo Meyer,psb,PR,sim,nao votou,sim,sim,nao,nao,nao,nao,sim,nao,nao,sim,sim,nao,nao,sim,nao,sim,nao votou,sim
74585,LincolnPortela,Lincoln Portela,pr,MG,nao votou,sim,sim,sim,sim,sim,sim,nao,nao,nao,nao,sim,sim,sim,nao votou,nao votou,nao votou,sim,nao votou,sim
178879,LucasVergilio,Lucas Vergilio,solidaried,GO,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,sim
160628,LucianaSantos,Luciana Santos,pcdob,PE,nao,nao votou,sim,nao,nao,nao,nao,nao,nao,sim,nao,sim,sim,sim,sim,nao,nao,sim,nao,nao
178931,LucianoDucci,Luciano Ducci,psb,PR,nao,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim
178954,LucioMosquini,Lucio Mosquini,pmdb,RO,sim,nao votou,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
141484,LucioVale,Lúcio Vale,pr,PA,nao,sim,sim,sim,sim,sim,sim,sim,nao votou,nao,sim,sim,nao,sim,sim,sim,nao,sim,nao,nao
94931,LucioVieiraLima,Lucio Vieira Lima,pmdb,BA,nao votou,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,nao votou,nao votou,nao votou,nao votou,sim
73483,LuisCarlosHeinze,Luis Carlos Heinze,pp,RS,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim,nao,sim
160510,LuisTibe,Luis Tibé,ptdob,MG,nao votou,sim,sim,sim,sim,sim,sim,nao,sim,nao,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim
74784,LuizaErundina,Luiza Erundina,psb,SP,nao,nao votou,nao,nao,nao,nao,nao votou,nao votou,nao,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao
141485,LuizCarlosBusato,Luiz Carlos Busato,ptb,RS,sim,nao votou,sim,sim,nao,nao,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,nao votou,nao votou,nao votou,nao votou,sim
73778,LuizCarlosHauly,Luiz Carlos Hauly,psdb,PR,nao votou,nao votou,sim,nao votou,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,nao,nao,nao,sim,nao,sim
178802,LuizCarlosRamos,Luiz Carlos Ramos,psdc,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim,nao,sim
178955,LuizClaudio,Luiz Cláudio,pr,RO,sim,sim,nao votou,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,sim,nao votou,sim
74041,LuizCouto,Luiz Couto,pt,PB,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
141487,LuizFernandoFaria,Luiz Fernando Faria,pp,MG,sim,nao votou,sim,nao votou,sim,sim,sim,nao votou,sim,sim,sim,nao votou,sim,sim,sim,sim,nao,sim,sim,sim
178866,LuizianneLins,Luizianne Lins,pt,CE,nao,sim,sim,nao votou,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao votou,nao votou,sim,nao,sim,nao,nao
178982,LuizLauroFilho,Luiz Lauro Filho,psb,SP,nao,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,nao,nao votou,sim,sim,nao,sim,nao,sim
162332,LuizNishimori,Luiz Nishimori,pr,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim
74688,LuizSergio,Luiz Sérgio,pt,RJ,nao votou,sim,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao votou,sim,sim,nao,nao votou,nao,nao
178867,Macedo,Macedo,psl,CE,sim,sim,sim,nao votou,nao votou,nao votou,sim,nao,nao,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao
166402,MagdaMofatto,Magda Mofatto,pr,GO,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,sim,sim,sim,nao,sim,sim,sim
178826,MajorOlimpio,Major Olimpio,pdt,SP,sim,sim,nao,sim,sim,sim,nao,nao,sim,nao,nao,sim,nao votou,nao votou,nao,sim,nao,sim,sim,sim
160633,Mandetta,Mandetta,dem,MS,sim,sim,sim,sim,nao,sim,sim,nao,sim,nao,sim,sim,sim,nao,nao,nao,sim,sim,sim,sim
141490,ManoelJunior,Manoel Junior,pmdb,PB,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,sim,nao votou,sim
160565,MaraGabrilli,Mara Gabrilli,psdb,SP,sim,nao votou,sim,nao votou,nao,sim,sim,nao votou,nao,nao,sim,sim,nao votou,nao,nao,nao votou,nao votou,nao votou,nao votou,sim
179000,MarceloAlvaroAntonio,Marcelo Álvaro Antônio,prp,MG,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,nao,nao,sim,nao,sim
146788,MarceloAro,Marcelo Aro,phs,MG,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,nao,sim,nao,sim,nao,sim,nao,sim
178932,MarceloBelinati,Marcelo Belinati,pp,PR,sim,sim,nao,sim,sim,sim,nao,nao,nao,sim,nao,sim,nao,nao,nao,nao,sim,sim,nao,sim
74460,MarceloCastro,Marcelo Castro,pmdb,PI,nao votou,nao votou,sim,sim,sim,nao votou,nao,nao,sim,nao,sim,sim,nao votou,sim,sim,sim,nao,nao votou,sim,nao
76287,MarceloMatos,Marcelo Matos,pdt,RJ,nao,nao,sim,sim,nao votou,sim,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,sim
118594,MarceloSquassoni,Marcelo Squassoni,prb,SP,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao,sim,sim,nao votou,sim,nao,sim,sim,sim,nao,sim
178983,MarcioAlvino,Marcio Alvino,pr,SP,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,sim,sim,sim,nao,sim,sim,sim
150418,MarcioMarinho,Márcio Marinho,prb,BA,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao votou,sim,nao,nao,nao,sim,nao,sim
133373,MarcoMaia,Marco Maia,pt,RS,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
160535,Marcon,Marcon,pt,RS,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao votou,nao votou,sim,nao,sim,nao,nao
178880,MarcosAbrao,Marcos Abrão,pps,GO,sim,nao,sim,sim,nao,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
141500,MarcosMontes,Marcos Montes,psd,MG,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,nao,sim
178852,MarcosReategui,Marcos Reategui,psc,AP,nao,nao votou,sim,nao votou,nao,sim,sim,nao,nao,nao,nao,sim,nao votou,nao,nao votou,sim,sim,sim,sim,sim
167722,MarcosRogerio,Marcos Rogério,pdt,RO,nao,nao votou,nao votou,sim,sim,sim,nao,nao,nao,nao votou,sim,sim,nao votou,nao,nao,sim,sim,sim,nao,sim
178850,MarcosRotta,Marcos Rotta,pmdb,AM,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,sim
178943,MarcosSoares,Marcos Soares,pr,RJ,sim,nao votou,nao votou,sim,sim,sim,nao votou,nao votou,nao votou,nao votou,nao votou,sim,nao,sim,nao,sim,sim,sim,sim,sim
160536,MarcoTebaldi,Marco Tebaldi,psdb,SC,sim,nao votou,nao votou,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim
159238,MarcusPestana,Marcus Pestana,psdb,MG,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,nao,nao,sim,nao,sim,nao,sim
74235,MarcusVicente,Marcus Vicente,pp,ES,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao,nao votou,nao,sim,nao votou,sim
171619,MargaridaSalomao,Margarida Salomão,pt,MG,nao votou,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
74398,MariadoRosario,Maria do Rosário,pt,RS,nao,sim,sim,nao votou,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,nao,sim,nao,nao
64960,MariaHelena,Maria Helena,psb,RR,nao,nao votou,nao votou,sim,nao,nao,sim,sim,nao,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,sim
178956,MarianaCarvalho,Mariana Carvalho,psdb,RO,sim,sim,sim,sim,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,sim,nao,nao,sim,sim,sim,nao,sim
178919,MarinaldoRosendo,Marinaldo Rosendo,psb,PE,nao,nao votou,sim,sim,sim,sim,nao,nao,sim,sim,nao votou,sim,sim,sim,nao,sim,nao,sim,sim,sim
74177,MarinhaRaupp,Marinha Raupp,pmdb,RO,nao votou,nao votou,sim,sim,nao,nao,sim,nao,nao,nao,nao votou,sim,sim,sim,nao votou,sim,nao,sim,sim,sim
74158,MarioHeringer,Mário Heringer,pdt,MG,sim,nao votou,sim,sim,nao,nao,nao votou,nao votou,sim,nao votou,sim,nao votou,sim,nao,nao,sim,nao,sim,sim,sim
178843,MarxBeltrao,Marx Beltrão,pmdb,AL,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao votou,nao,sim,sim,sim,sim,sim,sim
74050,MauricioQuintellaLessa,Maurício Quintella Lessa,pr,AL,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,nao votou,sim,nao votou,sim,sim,sim,nao,sim,sim,sim
74749,MauroLopes,Mauro Lopes,pmdb,MG,sim,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,nao votou,sim,nao votou,sim
141507,MauroMariani,Mauro Mariani,pmdb,SC,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim
124411,MauroPereira,Mauro Pereira,pmdb,RS,sim,nao,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,sim,nao,sim,sim,sim
178827,MaxFilho,Max Filho,psdb,ES,sim,nao votou,nao,sim,nao,nao,nao,nao,nao votou,nao votou,sim,sim,sim,nao,nao,nao votou,sim,sim,nao,sim
178984,MiguelHaddad,Miguel Haddad,psdb,SP,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,nao,nao,nao,sim,sim,nao,sim
178985,MiguelLombardi,Miguel Lombardi,pr,SP,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,sim,sim,sim,nao,sim,sim,sim
74787,MiltonMonti,Milton Monti,pr,SP,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao votou,sim,nao votou,sim,sim,sim,nao,sim,sim,sim
74862,MiroTeixeira,Miro Teixeira,pros,RJ,nao votou,nao,nao,sim,nao,nao,nao,nao,nao,sim,nao,sim,sim,nao,nao,nao,sim,sim,nao,sim
74862,MiroTeixeira,Miro Teixeira,rede,RJ,nao,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,sim
178895,MisaelVarella,Misael Varella,dem,MG,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,nao votou,sim,sim,sim,sim,sim,sim
160561,MissionarioJoseOlimpio,Missionário José Olimpio,pp,SP,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao votou,nao,nao,sim,sim,sim,sim,sim
178859,MoemaGramacho,Moema Gramacho,pt,BA,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,nao votou,nao,nao
74457,MoroniTorgan,Moroni Torgan,dem,CE,sim,nao,nao votou,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
178997,MosesRodrigues,Moses Rodrigues,pps,CE,sim,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
160567,NelsonMarchezanJunior,Nelson Marchezan Junior,psdb,RS,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,nao,nao,nao,sim,nao,sim
73553,NelsonMarquezelli,Nelson Marquezelli,ptb,SP,sim,nao,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,sim,sim,sim
73781,NelsonMeurer,Nelson Meurer,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim
178896,NewtonCardosoJr,Newton Cardoso Jr,pmdb,MG,sim,sim,nao,sim,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim
166401,NilsonLeitao,Nilson Leitão,psdb,MT,sim,nao votou,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao votou,nao votou,nao,sim,sim,sim,nao votou,sim
74352,NilsonPinto,Nilson Pinto,psdb,PA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,sim,sim,sim,nao,sim
74359,NiltonCapixaba,Nilton Capixaba,ptb,RO,sim,sim,sim,sim,sim,sim,nao votou,nao votou,sim,nao votou,nao votou,nao votou,sim,sim,nao,sim,nao,sim,sim,sim
178986,NiltoTatto,Nilto Tatto,pt,SP,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
74752,OdelmoLeao,Odelmo Leão,pp,MG,sim,sim,nao,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,nao,nao,sim,nao,sim,sim,sim
178868,OdoricoMonteiro,Odorico Monteiro,pt,CE,sim,sim,nao votou,nao votou,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,sim,nao
74399,OnyxLorenzoni,Onyx Lorenzoni,dem,RS,nao votou,nao votou,nao votou,nao votou,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,nao,nao votou,nao,nao,sim,sim,nao,sim
178987,OrlandoSilva,Orlando Silva,pcdob,SP,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,nao,sim,sim,sim,sim,nao,nao,sim,nao,nao
73463,OsmarSerraglio,Osmar Serraglio,pmdb,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao votou,nao votou,sim,nao votou,nao votou,sim,sim
73692,OsmarTerra,Osmar Terra,pmdb,RS,nao votou,sim,sim,sim,nao,nao,nao votou,nao votou,nao,nao votou,nao votou,nao votou,sim,sim,sim,nao votou,nao,sim,sim,sim
141515,OtavioLeite,Otavio Leite,psdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao,nao,nao,sim,nao,sim,nao votou,sim
160556,PadreJoao,Padre João,pt,MG,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao votou,nao votou,sim,nao,sim,nao,nao
74319,PaesLandim,Paes Landim,ptb,PI,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao votou,sim,sim,nao,nao,sim,nao,nao
160642,PastorEurico,Pastor Eurico,psb,PE,nao votou,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,sim,nao,nao,sim,nao,sim,sim,sim
74095,PauderneyAvelino,Pauderney Avelino,dem,AM,nao votou,nao votou,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao,nao,nao,sim,sim,nao,sim
171617,Paulao,Paulão,pt,AL,nao votou,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
178860,PauloAzi,Paulo Azi,dem,BA,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao votou,sim,sim,sim,sim,nao,sim
74017,PauloFeijo,Paulo Feijó,pr,RJ,sim,sim,nao,sim,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,sim,sim,nao,sim,nao,sim,nao,sim
160517,PauloFoletto,Paulo Foletto,psb,ES,sim,sim,nao,sim,nao,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim
160558,PauloFreire,Paulo Freire,pr,SP,sim,sim,nao votou,nao votou,sim,sim,sim,nao,nao votou,nao,sim,sim,nao votou,nao,nao,sim,nao,sim,nao,sim
74574,PauloMagalhaes,Paulo Magalhães,psd,BA,sim,sim,sim,sim,nao,nao,sim,nao,nao votou,nao,sim,sim,nao,sim,sim,sim,nao,sim,nao,nao
132056,PauloMaluf,Paulo Maluf,pp,SP,nao votou,nao votou,nao votou,sim,sim,sim,sim,nao votou,sim,sim,sim,nao votou,nao votou,sim,sim,sim,nao,nao votou,nao votou,sim
141518,PauloPereiradaSilva,Paulo Pereira da Silva,solidaried,SP,sim,nao votou,nao,sim,sim,sim,nao votou,sim,sim,sim,sim,nao votou,nao votou,nao,nao,sim,sim,sim,sim,sim
74400,PauloPimenta,Paulo Pimenta,pt,RS,nao,nao votou,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
141488,PauloTeixeira,Paulo Teixeira,pt,SP,nao,nao votou,nao votou,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
74812,PedroChaves,Pedro Chaves,pmdb,GO,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,sim,sim,sim
178912,PedroCunhaLima,Pedro Cunha Lima,psdb,PB,sim,nao,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,nao,nao,sim,nao,sim
74449,PedroFernandes,Pedro Fernandes,ptb,MA,nao votou,nao,nao,sim,nao,nao,sim,sim,nao,nao,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao
160604,PedroUczai,Pedro Uczai,pt,SC,nao,nao votou,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao votou,nao votou,sim,nao,sim,nao,nao
178844,PedroVilela,Pedro Vilela,psdb,AL,sim,nao,sim,sim,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,nao votou,nao,nao,nao,sim,sim,nao,sim
141445,PepeVargas,Pepe Vargas,pt,RS,nao,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao
73486,PompeodeMattos,Pompeo de Mattos,pdt,RS,sim,nao votou,sim,sim,nao,nao,nao,nao,nao votou,nao,sim,sim,sim,nao,nao,sim,nao,sim,nao,nao votou
160641,ProfessoraMarcivania,Professora Marcivania,pt,AP,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao votou,nao votou,sim,nao,sim,nao,nao
148134,ProfessorVictorioGalli,Professor Victório Galli,psc,MT,sim,sim,nao,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,sim
178951,RafaelMotta,Rafael Motta,pros,RN,sim,nao,sim,sim,nao,sim,sim,nao,nao votou,nao,sim,sim,sim,sim,nao votou,sim,nao votou,sim,sim,sim
74216,RaimundoGomesdeMatos,Raimundo Gomes de Matos,psdb,CE,sim,nao votou,sim,sim,sim,sim,nao votou,sim,sim,nao,sim,nao votou,nao votou,nao,nao,sim,nao,sim,sim,sim
178998,RaquelMuniz,Raquel Muniz,psc,MG,sim,sim,nao,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim
74161,ReginaldoLopes,Reginaldo Lopes,pt,MG,nao,nao votou,sim,nao votou,nao,nao,nao,nao,nao votou,nao,nao votou,sim,sim,sim,sim,sim,nao,nao,nao,nao
178960,RemidioMonai,Remídio Monai,pr,RR,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao votou,sim,sim,nao,sim,sim,sim
178989,RenataAbreu,Renata Abreu,ptn,SP,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao votou,nao,sim
141527,RenatoMolling,Renato Molling,pp,RS,nao votou,sim,nao,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao,sim,sim,sim,sim,sim
160654,RenzoBraz,Renzo Braz,pp,MG,sim,nao votou,sim,nao votou,sim,sim,sim,sim,nao votou,sim,sim,sim,nao votou,sim,nao,sim,nao,nao votou,sim,sim
73788,RicardoBarros,Ricardo Barros,pp,PR,sim,nao votou,nao votou,nao votou,nao,nao,sim,sim,sim,sim,nao votou,sim,nao votou,sim,sim,nao,nao votou,nao votou,nao,sim
160655,RicardoIzar,Ricardo Izar,psd,SP,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao votou,sim,sim,sim,nao,sim,nao,sim
178920,RicardoTeobaldo,Ricardo Teobaldo,ptb,PE,sim,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,sim,nao,nao votou,sim,nao
141472,RicardoTripoli,Ricardo Tripoli,psdb,SP,sim,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,sim,sim,sim,nao,sim
152610,RobertoAlves,Roberto Alves,prb,SP,nao,sim,sim,sim,sim,sim,sim,nao,nao votou,nao,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim
73674,RobertoBalestra,Roberto Balestra,pp,GO,sim,sim,nao,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,sim,nao,nao votou,sim,sim,sim,nao,sim
141529,RobertoBritto,Roberto Britto,pp,BA,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,sim,sim,nao
178995,RobertoGoes,Roberto Góes,pdt,AP,nao,nao,sim,sim,nao,nao,sim,nao,sim,nao,nao,nao,sim,nao,nao,sim,nao,sim,sim,nao
178944,RobertoSales,Roberto Sales,prb,RJ,nao,sim,sim,sim,sim,sim,sim,nao,sim,nao,nao votou,sim,sim,sim,nao votou,sim,nao,sim,nao,sim
178840,Rocha,Rocha,psdb,AC,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao,nao,sim,nao,nao votou,nao,sim
141531,RodrigodeCastro,Rodrigo de Castro,psdb,MG,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim
74693,RodrigoMaia,Rodrigo Maia,dem,RJ,sim,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,nao,sim,sim,nao,sim
178926,RodrigoMartins,Rodrigo Martins,psb,PI,nao,nao,sim,sim,nao votou,nao votou,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,sim
178897,RodrigoPacheco,Rodrigo Pacheco,pmdb,MG,sim,sim,sim,sim,nao votou,nao votou,sim,nao,sim,sim,sim,sim,nao,sim,sim,nao votou,nao votou,sim,nao votou,sim
